date,AGG,DBC,VTI,^VIX
2021-05-11,106.88497161865234,17.811885833740234,205.6815643310547,21.84000015258789
2021-05-12,106.51053619384766,17.792938232421875,201.0488739013672,27.59000015258789
2021-05-13,106.75391387939453,17.300268173217773,203.2645263671875,23.1299991607666
2021-05-14,106.99728393554688,17.442384719848633,206.7366485595703,18.809999465942383
2021-05-17,106.90367889404297,17.660295486450195,206.29544067382812,19.719999313354492
2021-05-18,106.77263641357422,17.57502555847168,204.68408203125,21.34000015258789
2021-05-19,106.62286376953125,17.214998245239258,204.08937072753906,22.18000030517578
2021-05-20,106.98793029785156,17.034984588623047,206.3050537109375,20.670000076293945
2021-05-21,107.03475189208984,17.196048736572266,206.18997192382812,20.149999618530273
2021-05-24,107.13771057128906,17.432910919189453,208.27133178710938,18.399999618530273
2021-05-25,107.39984893798828,17.376062393188477,207.69580078125,18.84000015258789
2021-05-26,107.36239624023438,17.40448570251465,208.4439697265625,17.360000610351562
2021-05-27,107.23135375976562,17.679244995117188,208.82762145996094,16.739999771118164
2021-05-28,107.23135375976562,17.622398376464844,209.18252563476562,16.760000228881836
2021-06-01,107.18167114257812,17.935054779052734,209.2688446044922,17.899999618530273
2021-06-02,107.32227325439453,18.02979850769043,209.54701232910156,17.479999542236328
2021-06-03,107.06912994384766,17.87820816040039,208.6166229248047,18.040000915527344
2021-06-04,107.50975036621094,18.07716941833496,210.42941284179688,16.420000076293945
2021-06-07,107.43474578857422,18.105592727661133,210.60208129882812,16.420000076293945
2021-06-08,107.63162231445312,18.285606384277344,211.03369140625,17.06999969482422
2021-06-09,107.8472671508789,18.200336456298828,210.43899536132812,17.889999389648438
2021-06-10,108.07222747802734,18.266658782958984,211.369384765625,16.100000381469727
2021-06-11,108.02537536621094,18.209810256958008,211.99285888671875,15.649999618530273
2021-06-14,107.75349426269531,18.105592727661133,212.31895446777344,16.389999389648438
2021-06-15,107.80036926269531,18.02979850769043,211.7626495361328,17.020000457763672
2021-06-16,107.45352935791016,17.925579071044922,210.70758056640625,18.149999618530273
2021-06-17,107.79100036621094,17.461334228515625,210.50616455078125,17.75
2021-06-18,108.08162689208984,17.641347885131836,207.89724731445312,20.700000762939453
2021-06-21,107.80036926269531,17.8592586517334,210.76515197753906,17.889999389648438
2021-06-22,107.91290283203125,17.887680053710938,211.96408081054688,16.65999984741211
2021-06-23,107.85662841796875,18.001375198364258,211.8777618408203,16.31999969482422
2021-06-24,107.89410400390625,18.06769561767578,213.31610107421875,15.970000267028809
2021-06-25,107.67850494384766,17.991899490356445,214.1146240234375,15.619999885559082
2021-06-28,107.98786926269531,17.982425689697266,214.35516357421875,15.760000228881836
2021-06-29,108.04414367675781,18.06769561767578,214.36476135253906,16.020000457763672
2021-06-30,108.1191177368164,18.23823356628418,214.3743896484375,15.829999923706055
2021-07-01,108.05906677246094,18.304553985595703,215.5385284423828,15.479999542236328
2021-07-02,108.29373168945312,18.475093841552734,216.73155212402344,15.069999694824219
2021-07-06,108.64107513427734,17.972949981689453,216.26011657714844,16.440000534057617
2021-07-07,108.82881927490234,17.75503921508789,216.54873657226562,16.200000762939453
2021-07-08,108.95085144042969,17.90662956237793,214.72073364257812,19.0
2021-07-09,108.59413146972656,18.115068435668945,217.31838989257812,16.18000030517578
2021-07-12,108.52839660644531,18.143489837646484,217.92453002929688,16.170000076293945
2021-07-13,108.29373168945312,18.295080184936523,216.71229553222656,17.1200008392334
2021-07-14,108.65982818603516,18.115068435668945,216.41404724121094,16.329999923706055
2021-07-15,108.89453125,18.020322799682617,215.6539764404297,17.010000228881836
2021-07-16,108.80065155029297,18.020322799682617,213.96070861816406,18.450000762939453
2021-07-19,109.37328338623047,17.300268173217773,210.9204559326172,22.5
2021-07-20,109.27001190185547,17.55607795715332,214.56683349609375,19.729999542236328
2021-07-21,108.91329193115234,17.90662956237793,216.49102783203125,17.90999984741211
2021-07-22,109.1667709350586,18.04874610900879,216.67381286621094,17.690000534057617
2021-07-23,109.09165954589844,18.143489837646484,218.83853149414062,17.200000762939453
2021-07-26,108.99779510498047,18.276132583618164,219.2810821533203,17.579999923706055
2021-07-27,109.25122833251953,18.171913146972656,218.0977325439453,19.360000610351562
2021-07-28,109.35452270507812,18.257183074951172,218.43443298339844,18.309999465942383
2021-07-29,109.1761703491211,18.579313278198242,219.39654541015625,17.700000762939453
2021-07-30,109.32634735107422,18.475093841552734,218.0977325439453,18.239999771118164
2021-08-02,109.55856323242188,18.276132583618164,217.7898406982422,19.459999084472656
2021-08-03,109.59618377685547,18.19086265563965,219.34844970703125,18.040000915527344
2021-08-04,109.58673858642578,17.89715576171875,218.36709594726562,17.969999313354492
2021-08-05,109.34233856201172,18.162439346313477,219.9257049560547,17.280000686645508
2021-08-06,108.85348510742188,18.010848999023438,220.19508361816406,16.149999618530273
2021-08-09,108.65607452392578,17.75503921508789,220.10848999023438,16.719999313354492
2021-08-10,108.51502990722656,18.07716941833496,220.2528076171875,16.790000915527344
2021-08-11,108.61846160888672,18.23823356628418,220.68572998046875,16.170000076293945
2021-08-12,108.62787628173828,18.171913146972656,221.30149841308594,15.59000015258789
