date,ADBE,ADP,ALGN,GOOGL,GOOG,AMZN,AMD,AEP,AMGN,ADI,ANSS,AAPL,AMAT,ASML,AZN,ADSK,BKR,BIIB,BKNG,AVGO,CDNS,CHTR,CTAS,CSCO,CTSH,CMCSA,CPRT,CSGP,COST,CSX,DXCM,FANG,DLTR,EBAY,EA,ENPH,EXC,FAST,FTNT,GILD,HON,IDXX,ILMN,INTC,INTU,ISRG,KDP,KLAC,LRCX,LULU,MAR,MRVL,MELI,META,MCHP,MU,MSFT,MDLZ,MNST,NFLX,NVDA,NXPI,ORLY,ODFL,ON,PCAR,PANW,PAYX,PEP,QCOM,REGN,ROST,SGEN,SIRI,SBUX,SNPS,TMUS,TSLA,TXN,VRSK,VRTX,WBA,WBD,WDAY,XEL
2013-01-02,38.34000015258789,40.37317657470703,28.399999618530273,18.099348068237305,18.013729095458984,12.865500450134277,2.5299999713897705,29.345266342163086,67.03877258300781,34.44764709472656,70.05000305175781,16.79119300842285,10.069246292114258,59.79062271118164,16.071260452270508,36.939998626708984,23.007234573364258,150.0,638.4000244140625,24.325910568237305,14.0,78.0999984741211,36.79143524169922,14.553958892822266,34.99584197998047,15.501983642578125,3.807499885559082,9.307999610900879,82.71751403808594,5.600132942199707,3.4625000953674316,16.3275089263916,39.900001525878906,20.90398597717285,14.308540344238281,3.7899999618530273,14.412360191345215,18.041772842407227,4.23799991607666,28.15237808227539,49.218406677246094,47.025001525878906,55.41999816894531,15.494065284729004,56.143211364746094,55.279998779296875,5.694362163543701,31.0993595123291,33.65181350708008,74.0199966430664,34.64527893066406,6.45609712600708,80.50648498535156,28.0,13.369813919067383,6.526523113250732,22.620338439941406,21.445911407470703,9.03833293914795,13.144286155700684,2.93623685836792,25.741960525512695,89.87000274658203,23.079044342041016,7.369999885559082,21.441144943237305,17.07666778564453,23.173967361450195,50.9501953125,47.721824645996094,181.1999969482422,24.503416061401367,24.139999389648438,2.684495687484741,22.588529586791992,32.279998779296875,16.07381820678711,2.357332944869995,24.005638122558594,51.355384826660156,43.650001525878906,27.497604370117188,33.45937728881836,52.90999984741211,19.385833740234375
2013-01-03,37.75,40.53219985961914,29.170000076293945,18.109859466552734,18.02419090270996,12.923999786376953,2.490000009536743,29.32508087158203,66.61766052246094,33.89178466796875,69.7699966430664,16.579242706298828,10.043730735778809,58.53715133666992,16.041278839111328,36.369998931884766,23.236604690551758,147.86000061035156,648.72998046875,24.452983856201172,13.630000114440918,77.9800033569336,36.95791244506836,14.632674217224121,34.637332916259766,15.328939437866211,3.7799999713897705,9.10099983215332,83.56549835205078,5.6528849601745605,3.492500066757202,16.242647171020508,39.47999954223633,20.459304809570312,14.495387077331543,3.7300000190734863,14.52835464477539,18.09835433959961,3.865999937057495,28.111122131347656,49.40845489501953,47.0,55.54999923706055,15.450581550598145,55.952880859375,55.96333312988281,5.6718831062316895,30.829570770263672,33.000144958496094,75.08999633789062,34.92216110229492,6.543459415435791,80.95654296875,27.770000457763672,13.231160163879395,6.792309284210205,22.317312240600586,21.42179298400879,8.701666831970215,13.79857063293457,2.9385452270507812,25.612462997436523,90.20999908447266,22.83220672607422,7.309999942779541,21.344398498535156,16.450000762939453,23.210346221923828,50.972251892089844,47.5007209777832,180.7100067138672,26.456846237182617,24.469999313354492,2.737830400466919,22.74049186706543,31.899999618530273,15.957820892333984,2.318000078201294,23.69359016418457,51.94668197631836,45.150001525878906,27.302536010742188,33.48492431640625,52.29999923706055,19.32919692993164
2013-01-04,38.130001068115234,40.89173889160156,29.309999465942383,18.46771812438965,18.380355834960938,12.957500457763672,2.5899999141693115,29.278038024902344,66.91094970703125,33.288944244384766,70.5,16.117433547973633,10.043730735778809,57.93727111816406,16.041278839111328,36.36000061035156,23.77178192138672,145.92999267578125,648.4099731445312,24.296001434326172,13.430000305175781,77.5999984741211,37.31714630126953,14.654135704040527,34.554595947265625,15.320881843566895,3.809999942779541,9.142000198364258,83.29645538330078,5.813923358917236,3.5425000190734863,17.014896392822266,39.619998931884766,20.58802604675293,14.633065223693848,3.9000000953674316,14.629849433898926,18.120990753173828,3.861999988555908,28.399921417236328,50.419403076171875,47.439998626708984,54.7599983215332,15.334627151489258,56.38791275024414,55.586666107177734,5.704352378845215,30.729202270507812,33.078346252441406,71.94999694824219,35.038265228271484,6.823019027709961,81.00548553466797,28.760000228881836,13.155891418457031,6.851371765136719,21.89963150024414,21.502206802368164,8.648332595825195,13.71142864227295,3.035494804382324,25.288726806640625,91.6500015258789,23.08553695678711,7.420000076293945,21.56092643737793,16.083332061767578,23.40679931640625,51.04574966430664,46.80055618286133,181.07000732421875,26.08325958251953,24.969999313354492,2.755608320236206,22.871912002563477,31.649999618530273,16.1235294342041,2.293333053588867,23.641584396362305,51.85943603515625,45.849998474121094,26.861820220947266,33.765968322753906,52.189998626708984,19.40000343322754
2013-01-07,37.939998626708984,40.73271179199219,28.940000534057617,18.387136459350586,18.30015754699707,13.42300033569336,2.6700000762939453,29.157020568847656,66.57256317138672,33.390724182128906,70.48999786376953,16.022626876831055,9.924670219421387,56.99716567993164,16.0279541015625,36.09000015258789,23.487810134887695,146.4199981689453,657.3800048828125,24.161434173583984,13.40999984741211,77.4000015258789,37.2382926940918,14.51819133758545,34.70627212524414,15.252467155456543,3.853749990463257,9.083000183105469,82.65232849121094,5.68065071105957,3.5999999046325684,17.625905990600586,39.959999084472656,20.87277603149414,14.210199356079102,3.75,14.436522483825684,18.038002014160156,3.812000036239624,28.834997177124023,50.442230224609375,47.720001220703125,50.900001525878906,15.39985179901123,56.45134735107422,55.77777862548828,5.649408340454102,30.509618759155273,32.64390182495117,71.0999984741211,34.84176254272461,6.840493202209473,80.83915710449219,29.420000076293945,13.140050888061523,7.067938804626465,21.858684539794922,21.4378719329834,8.34333324432373,14.171428680419922,2.94777774810791,25.103731155395508,90.05000305175781,23.234939575195312,7.329999923706055,21.325971603393555,15.743332862854004,23.297657012939453,51.03839111328125,47.17643737792969,182.52999877929688,25.91222381591797,26.18000030517578,2.737830400466919,22.884231567382812,31.420000076293945,15.841825485229492,2.2893331050872803,23.71588134765625,51.626792907714844,47.290000915527344,27.47593879699707,33.68421173095703,52.16999816894531,19.19467544555664
2013-01-08,38.13999938964844,40.96780776977539,28.25,18.35085105895996,18.264041900634766,13.319000244140625,2.6700000762939453,29.009124755859375,66.28678131103516,33.04624557495117,71.08000183105469,16.06574249267578,9.78860092163086,56.531593322753906,16.041278839111328,36.29999923706055,23.13284683227539,144.38999938964844,657.4199829101562,23.99696922302246,13.680000305175781,77.19999694824219,37.34343719482422,14.532496452331543,34.24205780029297,15.357105255126953,3.805000066757202,9.067999839782715,82.49738311767578,5.6945343017578125,3.619999885559082,17.481637954711914,39.0099983215332,20.54901695251465,13.541486740112305,3.7100000381469727,14.310868263244629,17.9399356842041,3.818000078201294,29.0300235748291,49.970943450927734,48.005001068115234,52.38999938964844,15.283899307250977,55.996971130371094,56.04777908325195,5.666888236999512,29.7191219329834,32.13125991821289,71.62999725341797,34.74352264404297,6.9103827476501465,81.63169860839844,29.059999465942383,12.906327247619629,7.11715841293335,21.744016647338867,21.453960418701172,8.454999923706055,13.880000114440918,2.883143424987793,24.55799674987793,89.19999694824219,22.83220672607422,7.340000152587891,21.14168357849121,15.876667022705078,23.246726989746094,51.192718505859375,47.10273361206055,176.6300048828125,25.574649810791016,26.510000228881836,2.7911646366119385,22.84316635131836,31.459999084472656,15.460692405700684,2.245332956314087,23.44097328186035,52.247169494628906,48.5,27.57707405090332,34.670413970947266,51.869998931884766,19.23006820678711
2013-01-09,38.65999984741211,40.86410140991211,27.299999237060547,18.471471786499023,18.384092330932617,13.317500114440918,2.630000114440918,29.015827178955078,66.6778335571289,32.96013641357422,72.12999725341797,15.814661026000977,9.93317699432373,56.85390853881836,15.93800163269043,36.66999816894531,23.16015625,144.0800018310547,651.5900268554688,24.527751922607422,13.779999732971191,78.5999984741211,37.431060791015625,14.525335311889648,34.200679779052734,15.461737632751465,3.8575000762939453,9.039999961853027,82.53814697265625,5.702862739562988,3.6500000953674316,17.371313095092773,38.18000030517578,20.58022117614746,13.472646713256836,3.75,14.132035255432129,17.936159133911133,3.8359999656677246,29.20631217956543,50.57905578613281,48.56999969482422,52.529998779296875,15.544792175292969,56.487693786621094,56.3033332824707,5.706851005554199,30.01398468017578,32.40061950683594,71.04000091552734,34.74352264404297,7.1462626457214355,84.63551330566406,30.59000015258789,13.048937797546387,7.1959099769592285,21.866870880126953,21.751476287841797,8.388333320617676,13.70142936706543,2.818510055541992,24.890989303588867,88.38999938964844,23.079044342041016,7.449999809265137,21.02190589904785,16.65999984741211,23.253999710083008,51.44993209838867,47.817630767822266,183.39999389648438,25.61064910888672,27.15999984741211,2.7733867168426514,22.436573028564453,31.43000030517578,15.560118675231934,2.2426669597625732,23.775314331054688,52.29563522338867,48.25,27.779376983642578,34.62442398071289,52.75,19.258394241333008
2013-01-10,38.619998931884766,41.01621627807617,26.889999389648438,18.55555534362793,18.467777252197266,13.267000198364258,2.619999885559082,29.278038024902344,66.03112030029297,33.359405517578125,72.26000213623047,16.010692596435547,9.899157524108887,57.90146255493164,16.221179962158203,36.52000045776367,23.498735427856445,143.91000366210938,653.6199951171875,25.058521270751953,13.84000015258789,79.0,37.40476989746094,14.625516891479492,34.49484634399414,15.493932723999023,3.880000114440918,9.01099967956543,82.13864135742188,5.702862739562988,3.7325000762939453,18.35572052001953,38.13999938964844,20.673847198486328,13.767668724060059,3.7200000286102295,14.141700744628906,17.540090560913086,3.9159998893737793,29.232568740844727,50.48783874511719,48.630001068115234,53.63999938964844,15.798437118530273,56.714881896972656,56.54111099243164,5.714341163635254,30.484525680541992,32.887184143066406,70.58000183105469,34.850711822509766,7.408348560333252,84.43004608154297,31.299999237060547,13.290586471557617,7.304193019866943,21.670318603515625,21.96055030822754,8.126667022705078,14.0,2.8231265544891357,26.185951232910156,87.73999786376953,23.182973861694336,7.630000114440918,21.19696807861328,16.866666793823242,23.173967361450195,52.03784942626953,47.74393844604492,183.77000427246094,25.790699005126953,27.18000030517578,2.7822751998901367,22.39960479736328,31.469999313354492,16.1235294342041,2.23533296585083,24.094802856445312,52.21807861328125,46.79999923706055,27.86606788635254,34.435359954833984,53.20000076293945,19.258394241333008
2013-01-11,38.09000015258789,41.08534622192383,25.8700008392334,18.518268585205078,18.430667877197266,13.397000312805176,2.6700000762939453,29.069618225097656,65.39193725585938,33.085384368896484,72.83000183105469,15.912524223327637,9.958687782287598,58.572967529296875,16.227846145629883,36.79999923706055,23.487810134887695,143.7899932861328,655.489990234375,25.671527862548828,13.9399995803833,78.38999938964844,37.30839157104492,14.654135704040527,36.066768646240234,15.47783374786377,3.958750009536743,9.029999732971191,81.76358032226562,5.702862739562988,3.7049999237060547,18.389659881591797,38.119998931884766,20.946887969970703,14.003684997558594,3.7799999713897705,14.156203269958496,17.540090560913086,3.868000030517578,29.285078048706055,50.40422821044922,48.54999923706055,52.68000030517578,15.943371772766113,56.905704498291016,56.22222137451172,5.629426002502441,30.86095428466797,33.39983367919922,70.83999633789062,34.725669860839844,7.53065824508667,84.69419860839844,31.719999313354492,13.306426048278809,7.422320365905762,21.973337173461914,22.04900360107422,8.486666679382324,14.470000267028809,2.818510055541992,25.89920997619629,88.01000213623047,23.189468383789062,7.710000038146973,21.206186294555664,17.60333251953125,23.1230411529541,52.08927917480469,47.83238220214844,179.4600067138672,25.462120056152344,26.8700008392334,2.808943271636963,22.592632293701172,31.809999465942383,15.808682441711426,2.194000005722046,24.087373733520508,52.247169494628906,47.310001373291016,28.24898338317871,34.828819274902344,52.790000915527344,19.237150192260742
2013-01-14,38.15999984741211,41.07843780517578,26.639999389648438,18.099348068237305,18.013729095458984,13.636500358581543,2.640000104904175,29.069618225097656,65.36186981201172,33.06971740722656,72.95999908447266,15.345207214355469,9.992708206176758,57.65972137451172,16.247833251953125,36.83000183105469,22.941701889038086,143.8800048828125,662.9199829101562,25.843467712402344,14.020000457763672,78.18000030517578,37.019248962402344,15.004745483398438,36.05756759643555,15.662959098815918,3.984999895095825,9.03600025177002,81.8369369506836,5.733404636383057,3.6600000858306885,18.499984741210938,38.040000915527344,20.744056701660156,14.190533638000488,3.7799999713897705,14.219032287597656,17.52877426147461,3.888000011444092,29.168798446655273,50.74628829956055,47.97999954223633,52.619998931884766,15.943371772766113,56.960235595703125,56.96888732910156,5.643163681030273,30.69157600402832,33.20866394042969,72.30000305175781,34.59169387817383,7.635495185852051,85.08560180664062,30.950000762939453,13.116279602050781,7.481383323669434,22.022472381591797,22.097257614135742,8.46166706085205,14.778571128845215,2.81620192527771,26.24144744873047,88.55000305175781,22.962114334106445,7.659999847412109,21.279891967773438,17.450000762939453,23.479557037353516,52.39059066772461,47.345943450927734,179.39999389648438,25.318092346191406,27.639999389648438,2.8000540733337402,22.452999114990234,32.5099983215332,15.758970260620117,2.2173330783843994,24.027929306030273,52.751220703125,47.34000015258789,28.205631256103516,34.64486312866211,51.2599983215332,19.173429489135742
2013-01-15,38.150001525878906,40.89173889160156,26.34000015258789,18.14139175415039,18.055572509765625,13.595000267028809,2.680000066757202,29.015827178955078,63.97822952270508,32.897491455078125,73.05999755859375,14.86107349395752,10.009719848632812,56.47787857055664,16.35111427307129,36.709999084472656,23.040010452270508,143.00999450683594,663.3499755859375,25.32016944885254,13.890000343322754,78.31999969482422,37.08058547973633,15.011907577514648,35.92428207397461,15.775641441345215,3.9774999618530273,9.0,82.47291564941406,5.7694993019104,3.6500000953674316,18.432098388671875,38.599998474121094,20.482704162597656,14.367546081542969,3.8399999141693115,14.378528594970703,17.7437801361084,4.01800012588501,29.015033721923828,50.837486267089844,47.474998474121094,51.619998931884766,15.856414794921875,57.205604553222656,55.954444885253906,5.6544013023376465,30.359037399291992,33.087032318115234,69.47000122070312,34.975746154785156,7.565603733062744,85.34976959228516,30.100000381469727,13.0806303024292,7.481383323669434,22.28455352783203,22.282209396362305,8.508333206176758,14.527142524719238,2.7654173374176025,26.167451858520508,89.72000122070312,22.799734115600586,7.599999904632568,21.238428115844727,18.023332595825195,23.34131622314453,52.61841583251953,47.49334716796875,174.83999633789062,26.10576820373535,29.360000610351562,2.7911646366119385,22.37496566772461,32.54999923706055,15.87496566772461,2.259999990463257,23.983352661132812,53.34251403808594,47.08000183105469,28.393484115600586,34.28206253051758,51.040000915527344,19.152185440063477
